Label,Volume 1,Volume 2,Volume Difference,Volume Difference (%)
1.0,19874.774889826775,17606.35086682439,2268.424023002386,11.413583477433576
2.0,1487.5619640350342,1428.7155228853226,58.84644114971161,3.9558984817069236
3.0,22693.1157925725,26554.032004266977,3860.916211694479,17.01360115986437
4.0,4659.603062033653,5961.38555431366,1301.7824922800064,27.93762633746429
5.0,8215.084045171738,7985.399211734533,229.68483343720436,2.795891462269304
6.0,454.4686590433121,349.70847275853157,104.7601862847805,23.051135474403875
7.0,158.80416929721832,113.92372143268585,44.88044786453247,28.261504759698155
8.0,1097.4811772704124,908.5883684754372,188.89280879497528,17.2114850538738
9.0,124.7334566116333,359.51338320970535,234.77992659807205,188.22530295867327
10.0,95.57123643159866,118.12582591176033,22.554589480161667,23.59976738011988
11.0,3300.2393728494644,2915.326707482338,384.91266536712646,11.66317414832817
12.0,254.95287543535233,259.1297762095928,4.176900774240494,1.6383030656579587
13.0,153.89567679166794,181.62429359555244,27.728616803884506,18.017801007770583
14.0,261.5937770605087,289.47830855846405,27.884531497955322,10.659478146341916
15.0,1185.8340423703194,1216.275796443224,30.441754072904587,2.5671175717013237
16.0,709.9990041851997,610.2389504611492,99.76005372405052,14.050731499058356
17.0,398.1653626561165,333.83385583758354,64.33150681853294,16.156982211959544
18.0,245.7133601307869,189.56160205602646,56.15175807476044,22.852545765062306
19.0,357.74248319864273,312.82333344221115,44.91914975643158,12.55628052749034
20.0,353.12272554636,380.52390560507774,27.401180058717728,7.759676190854599
21.0,765.4360960125923,933.800995349884,168.36489933729172,21.99594456210776
22.0,157.64922988414764,156.87856721878052,0.7706626653671265,0.48884645103148716
23.0,43.59896284341812,89.17799505591393,45.579032212495804,104.54155154146426
24.0,139.17019927501678,147.07365676760674,7.903457492589951,5.678986976925845
25.0,130.21941882371902,124.66243287920952,5.556985944509506,4.26740189343966
26.0,156.49429047107697,136.801845818758,19.692444652318954,12.583490805345695
27.0,16.45788663625717,29.88163185119629,13.423745214939117,81.56420998408291
28.0,144.94489634037018,85.44279107451439,59.50210526585579,41.051535285608544
29.0,261.8825119137764,331.49935334920883,69.61684143543243,26.583234186463528
30.0,441.7643254995346,439.35336831212044,2.4109571874141693,0.5457564244663548
31.0,176.9944650530815,156.41166672110558,20.582798331975937,11.629063273703533
32.0,124.7334566116333,133.06664183735847,8.333185225725174,6.680793952236209
33.0,162.26898753643036,169.017980158329,6.748992621898651,4.159138923809124
34.0,136.57158559560776,112.05611944198608,24.515466153621674,17.95063449450799
35.0,104.23328202962875,104.11881098151207,0.11447104811668396,0.10982197421754894
36.0,142.63501751422882,100.85050749778748,41.784510016441345,29.294706688890795
37.0,128.487009704113,130.26523885130882,1.778229147195816,1.3839758208170776
38.0,56.59203124046326,48.09075126051903,8.50127997994423,15.02204425888467
39.0,213.95252627134323,554.2108907401562,340.25836446881294,159.03451592681057
40.0,340.1296571493149,293.2135125398636,46.916144609451294,13.793605945057413
41.0,103.36707746982574,106.45331346988678,3.086236000061035,2.9857049997006535
42.0,25.6974019408226,108.78781595826149,83.09041401743889,323.3416911514405
43.0,10.683189570903778,170.88558214902878,160.202392578125,1499.5745560337573
44.0,100.76846379041672,141.0039502978325,40.23548650741577,39.92864929557678
45.0,174.68458622694016,90.57869654893875,84.1058896780014,48.147287344938306
46.0,75.07106184959412,98.98290550708771,23.91184365749359,31.85227845238328
47.0,55.43709182739258,156.87856721878052,101.44147539138794,182.9848429048792
48.0,119.53622925281525,49.491452753543854,70.04477649927139,58.597110630894136
49.0,142.9237523674965,140.0701493024826,2.8536030650138855,1.9965912017734344
50.0,56.59203124046326,550.0087862610817,493.41675502061844,871.8838044954744
51.0,141.48007810115814,361.3809852004051,219.90090709924698,155.4288844412554
52.0,540.8003801703453,145.20605477690697,395.59432539343834,73.14978685274428
53.0,326.5591190457344,27.080228865146637,299.47889018058777,91.7074038709193
54.0,155.05061620473862,169.48488065600395,14.434264451265335,9.30938864003315
55.0,24.253727674484253,195.16440802812576,170.9106803536415,704.6779886682959
56.0,200.9594578742981,135.40114432573318,65.55831354856491,32.622656451219235
57.0,250.91058748960495,56.02805972099304,194.8825277686119,77.67010938774584
58.0,182.7691621184349,106.45331346988678,76.31584864854813,41.75532007915824
59.0,92.68388789892197,122.79483088850975,30.110942989587784,32.487785819284795
60.0,114.91647160053253,247.9241642653942,133.00769266486168,115.74293120242766
61.0,159.67037385702133,88.71109455823898,70.95927929878235,44.441105500462875
62.0,257.2627542614937,38.75274130702019,218.5100129544735,84.93651309212443
63.0,147.25477516651154,112.05611944198608,35.19865572452545,23.90323552137702
64.0,41.577818870544434,28.947830855846405,12.629988014698029,30.37674499959321
65.0,121.26863837242126,120.92722889780998,0.34140947461128235,0.28153154780446943
66.0,42.15528857707977,19.142920404672623,23.01236817240715,54.58951640273954
67.0,161.11404812335968,109.25471645593643,51.85933166742325,32.187963912194846
68.0,19.633970022201538,48.09075126051903,28.45678123831749,144.93646066556772
69.0,120.11369895935059,78.9061841070652,41.207514852285385,34.30709003993876
70.0,43.88769769668579,29.88163185119629,14.006065845489502,31.913421255968913
71.0,127.33207029104233,15.407716423273087,111.92435386776924,87.89957911776999
72.0,124.7334566116333,557.9460947215557,433.2126381099224,347.3106974488501
73.0,16.45788663625717,447.29067677259445,430.8327901363373,2617.7892681992407
74.0,488.5393717288971,175.5545871257782,312.9847846031189,64.06541677398359
75.0,446.96155285835266,21.477422893047333,425.4841299653053,95.19479410349781
76.0,150.71959340572357,25.67952737212181,125.04006603360176,82.96205105663014
